model,method,slice_value,metric,mean,std,count
e5,gradient_shap,Compression,auprc,0.24155808739783718,0.08115640143310113,120
e5,gradient_shap,Compression,f1_at_k,0.20317175335430807,0.11968349752760185,120
e5,gradient_shap,Compression,precision_at_k,0.20317175335430807,0.11968349752760185,120
e5,gradient_shap,Compression,recall_at_k,0.20317175335430807,0.11968349752760185,120
e5,gradient_shap,Explanation,auprc,0.27406077343127316,0.0917820087000903,96
e5,gradient_shap,Explanation,f1_at_k,0.2375294226493486,0.12955034805925283,96
e5,gradient_shap,Explanation,precision_at_k,0.2375294226493486,0.12955034805925283,96
e5,gradient_shap,Explanation,recall_at_k,0.2375294226493486,0.12955034805925283,96
e5,gradient_shap,Modulation,auprc,0.2504956236420048,0.08558169342901299,163
e5,gradient_shap,Modulation,f1_at_k,0.21376301920007829,0.12367820278970981,163
e5,gradient_shap,Modulation,precision_at_k,0.21376301920007829,0.12367820278970981,163
e5,gradient_shap,Modulation,recall_at_k,0.21376301920007829,0.12367820278970981,163
e5,gradient_shap,Omission,auprc,0.23275421052567985,0.07829273892626802,63
e5,gradient_shap,Omission,f1_at_k,0.20127358219280592,0.1197217589990503,63
e5,gradient_shap,Omission,precision_at_k,0.20127358219280592,0.1197217589990503,63
e5,gradient_shap,Omission,recall_at_k,0.20127358219280592,0.1197217589990503,63
e5,gradient_shap,Synonymy,auprc,0.2465141743053568,0.096907767547727,245
e5,gradient_shap,Synonymy,f1_at_k,0.20827199597245033,0.1345679568346646,245
e5,gradient_shap,Synonymy,precision_at_k,0.20827199597245033,0.1345679568346646,245
e5,gradient_shap,Synonymy,recall_at_k,0.20827199597245033,0.1345679568346646,245
e5,gradient_shap,Syntactic Change,auprc,0.2636634942969948,0.07954367317478177,61
e5,gradient_shap,Syntactic Change,f1_at_k,0.23862335387384967,0.1031228534097803,61
e5,gradient_shap,Syntactic Change,precision_at_k,0.23862335387384967,0.1031228534097803,61
e5,gradient_shap,Syntactic Change,recall_at_k,0.23862335387384967,0.1031228534097803,61
e5,integrated_gradients,Compression,auprc,0.24237502966983548,0.08383876777381931,120
e5,integrated_gradients,Compression,f1_at_k,0.20555089966432305,0.12677121991599632,120
e5,integrated_gradients,Compression,precision_at_k,0.20555089966432305,0.12677121991599632,120
e5,integrated_gradients,Compression,recall_at_k,0.20555089966432305,0.12677121991599632,120
