strategy,n,model,method,metric,mean
Compression,87,e5,attnlrp,auprc,0.301
Compression,87,e5,attnlrp,f1_at_k,0.2764
Compression,87,e5,attnlrp,precision_at_k,0.2764
Compression,87,e5,attnlrp,recall_at_k,0.2764
Explanation,79,e5,attnlrp,auprc,0.3252
Explanation,79,e5,attnlrp,f1_at_k,0.2886
Explanation,79,e5,attnlrp,precision_at_k,0.2886
Explanation,79,e5,attnlrp,recall_at_k,0.2886
Modulation,150,e5,attnlrp,auprc,0.3112
Modulation,150,e5,attnlrp,f1_at_k,0.2772
Modulation,150,e5,attnlrp,precision_at_k,0.2772
Modulation,150,e5,attnlrp,recall_at_k,0.2772
Omission,61,e5,attnlrp,auprc,0.2917
Omission,61,e5,attnlrp,f1_at_k,0.2602
Omission,61,e5,attnlrp,precision_at_k,0.2602
Omission,61,e5,attnlrp,recall_at_k,0.2602
Synonymy,215,e5,attnlrp,auprc,0.3084
Synonymy,215,e5,attnlrp,f1_at_k,0.2676
Synonymy,215,e5,attnlrp,precision_at_k,0.2676
Synonymy,215,e5,attnlrp,recall_at_k,0.2676
Syntactic Change,80,e5,attnlrp,auprc,0.3264
Syntactic Change,80,e5,attnlrp,f1_at_k,0.298
Syntactic Change,80,e5,attnlrp,precision_at_k,0.298
Syntactic Change,80,e5,attnlrp,recall_at_k,0.298
Compression,87,e5,gradient_shap,auprc,0.2416
Compression,87,e5,gradient_shap,f1_at_k,0.2032
Compression,87,e5,gradient_shap,precision_at_k,0.2032
Compression,87,e5,gradient_shap,recall_at_k,0.2032
Explanation,79,e5,gradient_shap,auprc,0.2741
Explanation,79,e5,gradient_shap,f1_at_k,0.2375
Explanation,79,e5,gradient_shap,precision_at_k,0.2375
Explanation,79,e5,gradient_shap,recall_at_k,0.2375
Modulation,150,e5,gradient_shap,auprc,0.2505
Modulation,150,e5,gradient_shap,f1_at_k,0.2138
Modulation,150,e5,gradient_shap,precision_at_k,0.2138
Modulation,150,e5,gradient_shap,recall_at_k,0.2138
Omission,61,e5,gradient_shap,auprc,0.2328
Omission,61,e5,gradient_shap,f1_at_k,0.2013
Omission,61,e5,gradient_shap,precision_at_k,0.2013
Omission,61,e5,gradient_shap,recall_at_k,0.2013
Synonymy,215,e5,gradient_shap,auprc,0.2465
Synonymy,215,e5,gradient_shap,f1_at_k,0.2083
Synonymy,215,e5,gradient_shap,precision_at_k,0.2083
Synonymy,215,e5,gradient_shap,recall_at_k,0.2083
Syntactic Change,80,e5,gradient_shap,auprc,0.2637
Syntactic Change,80,e5,gradient_shap,f1_at_k,0.2386
Syntactic Change,80,e5,gradient_shap,precision_at_k,0.2386
Syntactic Change,80,e5,gradient_shap,recall_at_k,0.2386
Compression,87,e5,integrated_gradients,auprc,0.2424
Compression,87,e5,integrated_gradients,f1_at_k,0.2056
Compression,87,e5,integrated_gradients,precision_at_k,0.2056
Compression,87,e5,integrated_gradients,recall_at_k,0.2056
Explanation,79,e5,integrated_gradients,auprc,0.2724
Explanation,79,e5,integrated_gradients,f1_at_k,0.2356
Explanation,79,e5,integrated_gradients,precision_at_k,0.2356
Explanation,79,e5,integrated_gradients,recall_at_k,0.2356
Modulation,150,e5,integrated_gradients,auprc,0.2527
Modulation,150,e5,integrated_gradients,f1_at_k,0.2136
Modulation,150,e5,integrated_gradients,precision_at_k,0.2136
Modulation,150,e5,integrated_gradients,recall_at_k,0.2136
Omission,61,e5,integrated_gradients,auprc,0.2356
Omission,61,e5,integrated_gradients,f1_at_k,0.2101
Omission,61,e5,integrated_gradients,precision_at_k,0.2101
Omission,61,e5,integrated_gradients,recall_at_k,0.2101
Synonymy,215,e5,integrated_gradients,auprc,0.2438
Synonymy,215,e5,integrated_gradients,f1_at_k,0.2053
Synonymy,215,e5,integrated_gradients,precision_at_k,0.2053
Synonymy,215,e5,integrated_gradients,recall_at_k,0.2053
Syntactic Change,80,e5,integrated_gradients,auprc,0.2585
Syntactic Change,80,e5,integrated_gradients,f1_at_k,0.2387
Syntactic Change,80,e5,integrated_gradients,precision_at_k,0.2387
Syntactic Change,80,e5,integrated_gradients,recall_at_k,0.2387
Compression,87,e5,raw_attention,auprc,0.2592
Compression,87,e5,raw_attention,f1_at_k,0.2017
Compression,87,e5,raw_attention,precision_at_k,0.2017
Compression,87,e5,raw_attention,recall_at_k,0.2017
Explanation,79,e5,raw_attention,auprc,0.2896
Explanation,79,e5,raw_attention,f1_at_k,0.2402
Explanation,79,e5,raw_attention,precision_at_k,0.2402
Explanation,79,e5,raw_attention,recall_at_k,0.2402
Modulation,150,e5,raw_attention,auprc,0.2696
Modulation,150,e5,raw_attention,f1_at_k,0.2197
Modulation,150,e5,raw_attention,precision_at_k,0.2197
Modulation,150,e5,raw_attention,recall_at_k,0.2197
Omission,61,e5,raw_attention,auprc,0.2494
Omission,61,e5,raw_attention,f1_at_k,0.1846
Omission,61,e5,raw_attention,precision_at_k,0.1846
Omission,61,e5,raw_attention,recall_at_k,0.1846
Synonymy,215,e5,raw_attention,auprc,0.2686
Synonymy,215,e5,raw_attention,f1_at_k,0.2175
Synonymy,215,e5,raw_attention,precision_at_k,0.2175
Synonymy,215,e5,raw_attention,recall_at_k,0.2175
Syntactic Change,80,e5,raw_attention,auprc,0.2664
Syntactic Change,80,e5,raw_attention,f1_at_k,0.2064
Syntactic Change,80,e5,raw_attention,precision_at_k,0.2064
Syntactic Change,80,e5,raw_attention,recall_at_k,0.2064
Compression,87,mbert,gradient_shap,auprc,0.2545
Compression,87,mbert,gradient_shap,f1_at_k,0.2227
Compression,87,mbert,gradient_shap,precision_at_k,0.2227
Compression,87,mbert,gradient_shap,recall_at_k,0.2227
Explanation,79,mbert,gradient_shap,auprc,0.2814
Explanation,79,mbert,gradient_shap,f1_at_k,0.2459
Explanation,79,mbert,gradient_shap,precision_at_k,0.2459
Explanation,79,mbert,gradient_shap,recall_at_k,0.2459
Modulation,150,mbert,gradient_shap,auprc,0.2662
Modulation,150,mbert,gradient_shap,f1_at_k,0.2345
Modulation,150,mbert,gradient_shap,precision_at_k,0.2345
Modulation,150,mbert,gradient_shap,recall_at_k,0.2345
Omission,61,mbert,gradient_shap,auprc,0.2571
Omission,61,mbert,gradient_shap,f1_at_k,0.2309
Omission,61,mbert,gradient_shap,precision_at_k,0.2309
Omission,61,mbert,gradient_shap,recall_at_k,0.2309
Synonymy,215,mbert,gradient_shap,auprc,0.2534
Synonymy,215,mbert,gradient_shap,f1_at_k,0.2232
Synonymy,215,mbert,gradient_shap,precision_at_k,0.2232
Synonymy,215,mbert,gradient_shap,recall_at_k,0.2232
Syntactic Change,80,mbert,gradient_shap,auprc,0.2737
Syntactic Change,80,mbert,gradient_shap,f1_at_k,0.2529
Syntactic Change,80,mbert,gradient_shap,precision_at_k,0.2529
Syntactic Change,80,mbert,gradient_shap,recall_at_k,0.2529
Compression,87,mbert,integrated_gradients,auprc,0.2506
Compression,87,mbert,integrated_gradients,f1_at_k,0.2211
Compression,87,mbert,integrated_gradients,precision_at_k,0.2211
Compression,87,mbert,integrated_gradients,recall_at_k,0.2211
Explanation,79,mbert,integrated_gradients,auprc,0.2854
Explanation,79,mbert,integrated_gradients,f1_at_k,0.2491
Explanation,79,mbert,integrated_gradients,precision_at_k,0.2491
Explanation,79,mbert,integrated_gradients,recall_at_k,0.2491
Modulation,150,mbert,integrated_gradients,auprc,0.2653
Modulation,150,mbert,integrated_gradients,f1_at_k,0.2367
Modulation,150,mbert,integrated_gradients,precision_at_k,0.2367
Modulation,150,mbert,integrated_gradients,recall_at_k,0.2367
Omission,61,mbert,integrated_gradients,auprc,0.2581
Omission,61,mbert,integrated_gradients,f1_at_k,0.2453
Omission,61,mbert,integrated_gradients,precision_at_k,0.2453
Omission,61,mbert,integrated_gradients,recall_at_k,0.2453
Synonymy,215,mbert,integrated_gradients,auprc,0.2516
Synonymy,215,mbert,integrated_gradients,f1_at_k,0.2163
Synonymy,215,mbert,integrated_gradients,precision_at_k,0.2163
Synonymy,215,mbert,integrated_gradients,recall_at_k,0.2163
Syntactic Change,80,mbert,integrated_gradients,auprc,0.2767
Syntactic Change,80,mbert,integrated_gradients,f1_at_k,0.2544
Syntactic Change,80,mbert,integrated_gradients,precision_at_k,0.2544
Syntactic Change,80,mbert,integrated_gradients,recall_at_k,0.2544
Compression,87,mbert,raw_attention,auprc,0.2586
Compression,87,mbert,raw_attention,f1_at_k,0.2332
Compression,87,mbert,raw_attention,precision_at_k,0.2332
Compression,87,mbert,raw_attention,recall_at_k,0.2332
Explanation,79,mbert,raw_attention,auprc,0.2767
Explanation,79,mbert,raw_attention,f1_at_k,0.2474
Explanation,79,mbert,raw_attention,precision_at_k,0.2474
