method,metric,mean,std,count
gradient_shap,auprc,0.2663474277629512,0.09053089232508717,721
gradient_shap,f1_at_k,0.23640268147177265,0.11922254375971467,721
gradient_shap,precision_at_k,0.23640268147177265,0.11922254375971467,721
gradient_shap,recall_at_k,0.23640268147177265,0.11922254375971467,721
integrated_gradients,auprc,0.2654972746620146,0.09144152182237636,721
integrated_gradients,f1_at_k,0.23734387311417934,0.12333257093962587,721
integrated_gradients,precision_at_k,0.23734387311417934,0.12333257093962587,721
integrated_gradients,recall_at_k,0.23734387311417934,0.12333257093962587,721
raw_attention,auprc,0.26317833910085875,0.08265242164894636,721
raw_attention,f1_at_k,0.240613458677851,0.11715416835787325,721
raw_attention,precision_at_k,0.240613458677851,0.11715416835787325,721
raw_attention,recall_at_k,0.240613458677851,0.11715416835787325,721
