group,COMPLEX,DELETE,KEEP,MERGE,SPLIT,SUBSTITUTE,n_tokens,dimension
ar,1.678240740740741,25.208333333333332,60.47453703703704,6.041666666666667,0.3125,6.284722222222222,8640,language
ca,3.4784113524271008,25.153586570909404,45.66929133858268,5.191658734965822,2.197802197802198,18.309249805312795,11557,language
en,1.0703363914373087,27.33180428134557,54.510703363914374,2.599388379204893,1.4908256880733946,12.996941896024463,2616,language
es,2.0593426914348156,30.654786921072542,46.97822980583341,3.303353786668908,0.9666302429183827,16.03765655207195,11897,language
fr,2.0104895104895104,23.164335664335663,53.93356643356644,3.5256410256410255,1.9230769230769231,15.442890442890441,3432,language
it,2.9586866317878404,29.866498286126646,39.68067833303265,3.5179505682843226,2.0746887966804977,21.90149738408804,11086,language
ar,1.678240740740741,25.208333333333332,60.47453703703704,6.041666666666667,0.3125,6.284722222222222,8640,collection
ca,3.4784113524271008,25.153586570909404,45.66929133858268,5.191658734965822,2.197802197802198,18.309249805312795,11557,collection
en,1.0703363914373087,27.33180428134557,54.510703363914374,2.599388379204893,1.4908256880733946,12.996941896024463,2616,collection
es,2.0593426914348156,30.654786921072542,46.97822980583341,3.303353786668908,0.9666302429183827,16.03765655207195,11897,collection
fr,2.0104895104895104,23.164335664335663,53.93356643356644,3.5256410256410255,1.9230769230769231,15.442890442890441,3432,collection
it,2.909441233140655,30.077071290944126,39.17148362235067,3.4682080924855487,2.138728323699422,22.235067437379577,10380,collection
it_carlo,3.6827195467422094,26.770538243626063,47.1671388101983,4.2492917847025495,1.13314447592068,16.997167138810198,706,collection
