language,side,n_sentences,mean,std,min,q1,median,q3,iqr,max,median_ci_low,median_ci_high
ar,Complex,399,21.654135338345863,14.40758722130206,3,12.0,18.0,28.0,16.0,114,17.0,19.0
ar,Simple,399,16.42105263157895,10.724890408114536,3,9.0,14.0,21.0,12.0,76,13.0,15.0
ca,Complex,380,30.41315789473684,16.49643234880972,3,19.0,28.0,39.0,20.0,146,26.0,30.0
ca,Simple,380,36.64736842105263,21.7196546185811,3,21.0,33.0,48.0,27.0,141,30.0,34.0
en,Complex,188,13.914893617021276,9.018886392084559,1,8.0,11.5,17.0,9.0,69,10.0,13.0
en,Simple,188,13.77659574468085,9.208406128602638,3,8.0,11.0,18.0,10.0,89,10.0,12.0
es,Complex,362,32.8646408839779,18.389775507669444,1,19.0,30.5,43.0,24.0,120,29.0,33.0
es,Simple,362,30.524861878453038,19.74493000902262,2,18.0,26.0,39.0,21.0,150,25.0,28.0
fr,Complex,258,13.30232558139535,11.107612737149553,1,6.0,9.0,18.0,12.0,69,8.0,10.0
fr,Simple,258,15.046511627906977,11.487675998484974,2,7.0,11.0,20.0,13.0,64,10.0,13.0
it,Complex,343,32.32069970845481,20.209626783136173,1,21.0,29.0,39.0,18.0,230,27.0,31.0
it,Simple,343,37.80758017492711,25.564120752693984,1,22.0,32.0,48.0,26.0,214,30.0,35.0
