language,variable,q1,median,q3,iqr
ar,paired_token_diff,-8.0,-3.0,0.0,8.0
ar,proportional_reduction,0.0,0.16,0.33739837398373984,0.33739837398373984
ar,char_diff,-38.5,-14.0,-2.0,36.5
ca,paired_token_diff,-2.0,2.0,11.0,13.0
ca,proportional_reduction,-0.38398692810457513,-0.1,0.06958128078817734,0.45356820889275246
ca,char_diff,-18.25,6.0,41.25,59.5
en,paired_token_diff,-3.0,0.0,2.0,5.0
en,proportional_reduction,-0.25,0.0,0.20357142857142857,0.45357142857142857
en,char_diff,-12.25,-3.0,12.0,24.25
es,paired_token_diff,-8.0,-2.0,2.0,10.0
es,proportional_reduction,-0.0879156010230179,0.06666666666666667,0.21688963210702342,0.3048052331300413
es,char_diff,-41.0,-12.0,11.75,52.75
fr,paired_token_diff,-1.0,0.0,4.0,5.0
fr,proportional_reduction,-0.58125,0.0,0.06470588235294117,0.6459558823529412
fr,char_diff,-5.0,1.0,21.75,26.75
it,paired_token_diff,-2.0,2.0,10.0,12.0
it,proportional_reduction,-0.34123989218328843,-0.07692307692307693,0.0824829931972789,0.42372288538056735
it,char_diff,-22.0,0.0,37.5,59.5
