language,side,feature,median,q1,q3,iqr
ar,complex,n_tokens,18.0,12.0,28.0,16.0
ar,complex,char_count,68.0,45.5,107.5,62.0
ar,complex,mean_token_length,3.857142857142857,3.5962962962962965,4.162280701754386,0.5659844054580896
ar,complex,n_content_tokens,8.0,5.0,12.0,7.0
ar,complex,lexical_density,0.43478260869565216,0.3523965141612201,0.5333333333333333,0.18093681917211324
ar,complex,n_unique_lemmas,16.0,11.0,26.0,15.0
ar,complex,lexical_diversity,3.8805700005813275,3.3166247903554,4.79791576165636,1.48129097130096
ar,complex,n_verbs,2.0,1.0,3.5,2.5
ar,complex,n_finite_verbs,1.0,0.0,1.0,1.0
ar,complex,n_clauses,2.0,1.0,3.0,2.0
ar,complex,n_subordinate_clauses,1.0,0.0,2.0,2.0
ar,complex,subordinate_rate,0.05714285714285714,0.0,0.1,0.1
ar,complex,tree_depth,5.0,4.0,7.0,3.0
ar,complex,mean_dep_distance,2.6774193548387095,2.2857142857142856,3.1176470588235294,0.8319327731092439
ar,complex,max_dep_distance,15.0,9.0,26.0,17.0
ar,complex,n_punct,3.0,1.0,5.0,4.0
ar,complex,n_named_entities,0.0,0.0,0.0,0.0
ar,complex,n_numbers,0.0,0.0,0.0,0.0
ar,complex,n_negations,0.0,0.0,0.0,0.0
ar,simple,n_tokens,14.0,9.0,21.0,12.0
ar,simple,char_count,54.0,34.0,78.0,44.0
ar,simple,mean_token_length,3.7560975609756095,3.4714285714285715,4.0,0.5285714285714285
ar,simple,n_content_tokens,6.0,4.0,9.0,5.0
ar,simple,lexical_density,0.42857142857142855,0.3333333333333333,0.5313725490196078,0.19803921568627453
ar,simple,n_unique_lemmas,13.0,9.0,19.0,10.0
ar,simple,lexical_diversity,3.5,3.0,4.2485291572496005,1.2485291572496005
ar,simple,n_verbs,2.0,1.0,3.0,2.0
ar,simple,n_finite_verbs,0.0,0.0,1.0,1.0
ar,simple,n_clauses,2.0,1.0,3.0,2.0
ar,simple,n_subordinate_clauses,1.0,0.0,2.0,2.0
ar,simple,subordinate_rate,0.041666666666666664,0.0,0.09523809523809523,0.09523809523809523
ar,simple,tree_depth,5.0,3.0,6.0,3.0
ar,simple,mean_dep_distance,2.4705882352941178,2.0,2.9553571428571432,0.9553571428571432
ar,simple,max_dep_distance,11.0,7.0,19.0,12.0
ar,simple,n_punct,2.0,1.0,4.0,3.0
ar,simple,n_named_entities,0.0,0.0,0.0,0.0
ar,simple,n_numbers,0.0,0.0,0.0,0.0
ar,simple,n_negations,0.0,0.0,0.0,0.0
ca,complex,n_tokens,28.0,19.0,39.0,20.0
ca,complex,char_count,125.5,89.25,170.0,80.75
ca,complex,mean_token_length,4.48025974025974,4.153846153846154,4.905844155844156,0.7519980019980022
ca,complex,n_content_tokens,13.0,9.0,19.0,10.0
ca,complex,lexical_density,0.4811253561253561,0.4397560975609756,0.5294117647058824,0.08965566714490675
ca,complex,n_unique_lemmas,23.0,17.0,30.0,13.0
